"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","559","(@T20) should switch to email tab when email button is clicked","chromium","2026-09-08","passed","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","212","(@T16) should display all tabs visible on desktop (>768px)","chromium","2026-09-08","passed","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","162","should contain correct registration and contact links","chromium","2026-09-08","passed","2026-09-08","Ukrainian School Page","school.spec.ts","",""
"","5265","локація фільтрує за містом з адреси або типу локації","chromium","2026-09-08","failed","2026-09-08","","site.spec.js","",""
"","30036","should approve application when confirmation is accepted","chromium","2026-09-08","broken","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","296","(@T26) should have properly sized buttons on mobile (>=44px)","chromium","2026-09-08","failed","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","229","should accept valid subcategory","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","476","should display school navigation link in the header","chromium","2026-09-08","passed","2026-09-08","Ukrainian School Page","school.spec.ts","",""
"","516","should display ""Details"" link in info section on home page","chromium","2026-09-08","passed","2026-09-08","Ukrainian School Page","school.spec.ts","",""
"","206","should reject price with letters","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","697","запам'ятовує вибрану мову між сторінками","chromium","2026-09-08","passed","2026-09-08","Language toggle (UA / EN)","i18n.spec.ts","",""
"","206","should accept name with 100 characters (max)","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","275","Pairwise & Equivalence Partitioning: Перевірка валідації контактів (хоча б один контакт)","chromium","2026-09-08","passed","2026-09-08","Form E2E - Boundary Values, Pairwise & Validation","form.spec.ts","",""
"","30032","should require confirmation before deleting live application","chromium","2026-09-08","broken","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","5314","показує іконку категорії та посилання на форму зворотного зв'язку в модалці","chromium","2026-09-08","failed","2026-09-08","","site.spec.js","",""
"","192","Повинні бути присутні всі необхідні поля (UI перевірка)","chromium","2026-09-08","passed","2026-09-08","Form E2E - Boundary Values, Pairwise & Validation","form.spec.ts","",""
"","248","should reject email with maxlength exceeded","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","544","should translate school page to English correctly","chromium","2026-09-08","passed","2026-09-08","Ukrainian School Page","school.spec.ts","",""
"","0","should center edit modal and apply correct width on mobile screens","chromium","2026-09-08","skipped","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","480","should display the video hero section correctly","chromium","2026-09-08","passed","2026-09-08","Homepage & Navigation E2E","home.spec.ts","",""
"","768","(@T24) should update email badge periodically","chromium","2026-09-08","passed","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","215","should reject invalid email format","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","524","should load the homepage with correct title and content","chromium","2026-09-08","passed","2026-09-08","Homepage & Navigation E2E","home.spec.ts","",""
"","5267","перемикання категорії оновлює набір підкатегорій і карток","chromium","2026-09-08","failed","2026-09-08","","site.spec.js","",""
"","195","should reject phone with SQL injection attempt","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","221","(@T19) should display email badge with unread count","chromium","2026-09-08","passed","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","5236","@T1 should auto-load specialist for editing when ?id=<spec-id> URL param is present","chromium","2026-09-08","failed","2026-09-08","Email Features & Admin Panel (New Requirements)","admin-email-features.spec.ts","",""
"","30033","(@T23) should close hamburger menu on Escape key","chromium","2026-09-08","broken","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","515","should have generous vertical spacing between school CTA and activity events","chromium","2026-09-08","passed","2026-09-08","Homepage & Navigation E2E > School CTA layout and spacing requirements","home.spec.ts","",""
"","213","BVA: Неможливо відправити форму з пустими обов'язковими полями","chromium","2026-09-08","passed","2026-09-08","Form E2E - Boundary Values, Pairwise & Validation","form.spec.ts","",""
"","272","should explain when Firebase Authentication is not enabled","chromium","2026-09-08","passed","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","217","should accept notes up to 1000 characters","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","170","should navigate to the school page and display correct title","chromium","2026-09-08","passed","2026-09-08","Ukrainian School Page","school.spec.ts","",""
"","483","should not duplicate text in school section","chromium","2026-09-08","passed","2026-09-08","Homepage & Navigation E2E > School CTA layout and spacing requirements","home.spec.ts","",""
"","5478","should paginate live catalog 50 per page with working prev/next buttons","chromium","2026-09-08","failed","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","5399","@T7 should close inaccuracy report modal when cancel button is clicked","chromium","2026-09-08","failed","2026-09-08","Email Features & Admin Panel (New Requirements)","admin-email-features.spec.ts","",""
"","195","should accept description with exactly 5 chars","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","5236","@T3 should display correct form fields in inaccuracy report modal","chromium","2026-09-08","failed","2026-09-08","Email Features & Admin Panel (New Requirements)","admin-email-features.spec.ts","",""
"","30033","@T15 Saving card executes direct database update without GitHub token prompt","chromium","2026-09-08","broken","2026-09-08","Error Reports Requirements (Звіти про помилки)","error-reports.spec.ts","",""
"","197","should accept valid category selection","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","506","показує SVG-прапор, а не емоджі (емоджі не рендеряться на Windows)","chromium","2026-09-08","passed","2026-09-08","Language toggle (UA / EN)","i18n.spec.ts","",""
"","1759","should reject form with no contacts provided","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","317","should cancel rejection when dismiss is clicked on prompt","chromium","2026-09-08","passed","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","188","should restrict URL fields to HTTP(S) only via type=url","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
"","5307","@T8 should close inaccuracy report modal on Escape key and backdrop click","chromium","2026-09-08","failed","2026-09-08","Email Features & Admin Panel (New Requirements)","admin-email-features.spec.ts","",""
"","537","should display formatted dates on live catalog cards","chromium","2026-09-08","passed","2026-09-08","Admin Panel E2E","admin.spec.ts","",""
"","30031","@T11 Auxiliary suggestion field must be hidden during regular edits or creating new cards","chromium","2026-09-08","broken","2026-09-08","Error Reports Requirements (Звіти про помилки)","error-reports.spec.ts","",""
"","195","should prevent notes exceeding 1000 characters","chromium","2026-09-08","passed","2026-09-08","Form Validation and Security (Test Design / Boundary / Edge Cases)","form-validation.spec.ts","",""
